Calories,Gender,Age,Weight,Heart_Rate,Body_Temp,Temp_Stress,Weight_Duration,Stress_Effort
17.0,0,25,58.0,90.0,39.2,3528.0,348.0,1905120.0
12.0,1,60,87.0,84.0,38.9,3267.6,261.0,823435.2
115.0,0,25,81.0,101.0,40.8,4120.8,1863.0,9572618.4
119.0,1,39,65.0,106.0,40.6,4303.6,1235.0,8667450.4
168.0,1,30,53.0,108.0,40.6,4384.8,1378.0,12312518.4
44.0,0,23,100.0,90.0,40.4,3636.0,1200.0,3926880.0
192.0,1,37,51.0,108.0,40.6,4384.8,1479.0,13733193.6
96.0,1,22,47.0,101.0,40.3,4070.3,799.0,6988705.1
135.0,1,26,68.0,105.0,40.7,4273.5,1564.0,10320502.5
54.0,1,56,60.0,86.0,40.2,3457.2,720.0,3567830.4
239.0,0,43,79.0,115.0,40.8,4692.0,2370.0,16187400.0
69.0,1,38,65.0,94.0,40.1,3769.4,910.0,4960530.4
46.0,0,24,80.0,90.0,40.7,3663.0,1120.0,4615380.0
115.0,1,25,63.0,101.0,40.7,4110.7,1323.0,8718794.7
17.0,1,31,62.0,88.0,39.1,3440.8,248.0,1211161.6
190.0,1,54,57.0,115.0,40.4,4646.0,1425.0,13357250.0
48.0,1,34,91.0,89.0,40.2,3577.8,1092.0,3821090.4
178.0,1,28,72.0,112.0,40.7,4558.4,1944.0,13784601.6
20.0,0,24,95.0,88.0,39.3,3458.4,570.0,1826035.2
64.0,1,27,69.0,90.0,40.4,3636.0,1035.0,4908600.0
95.0,1,35,57.0,94.0,40.6,3816.4,1083.0,6816090.4
196.0,0,49,89.0,111.0,40.8,4528.8,2225.0,12567420.0
9.0,0,36,91.0,91.0,38.1,3467.1,182.0,631012.2
105.0,1,58,83.0,101.0,40.8,4120.8,1494.0,7491614.4
58.0,1,40,61.0,92.0,40.0,3680.0,732.0,4062720.0
111.0,0,31,77.0,97.0,40.8,3957.6,1848.0,9213292.8
108.0,0,50,86.0,101.0,40.3,4070.3,1462.0,6988705.1
24.0,0,36,109.0,87.0,39.1,3401.7,654.0,1775687.4
67.0,1,34,61.0,96.0,40.1,3849.6,793.0,4804300.8
62.0,1,78,54.0,84.0,40.3,3385.2,702.0,3696638.4
172.0,0,41,76.0,104.0,40.8,4243.2,2128.0,12356198.4
24.0,0,41,71.0,87.0,39.5,3436.5,497.0,2092828.5
84.0,0,24,77.0,98.0,40.1,3929.8,1463.0,7317287.6
132.0,1,67,69.0,105.0,40.5,4252.5,1380.0,8930250.0
167.0,1,47,75.0,110.0,40.7,4477.0,1875.0,12311750.0
101.0,1,42,52.0,101.0,40.6,4100.6,884.0,7040730.2
113.0,1,25,75.0,97.0,40.6,3938.2,1725.0,8786124.2
84.0,0,25,78.0,101.0,40.3,4070.3,1326.0,6988705.1
28.0,1,58,68.0,88.0,39.4,3467.2,408.0,1830681.6
157.0,0,68,98.0,99.0,41.0,4059.0,2156.0,8840502.0
64.0,0,24,91.0,97.0,40.4,3918.8,1274.0,5321730.4
133.0,0,38,92.0,104.0,40.6,4222.4,1932.0,9221721.6
145.0,1,26,59.0,108.0,40.5,4374.0,1357.0,10865016.0
174.0,0,64,83.0,103.0,41.0,4223.0,1992.0,10439256.0
34.0,1,49,75.0,93.0,39.2,3645.6,525.0,2373285.6
193.0,1,73,57.0,103.0,40.9,4212.7,1653.0,12583334.9
147.0,0,27,86.0,107.0,40.7,4354.9,2064.0,11183383.2
133.0,0,66,72.0,105.0,40.5,4252.5,1296.0,8037225.0
161.0,0,39,104.0,101.0,40.7,4110.7,2704.0,10794698.2
18.0,1,30,62.0,76.0,39.4,2994.4,372.0,1365446.4
85.0,0,76,96.0,96.0,40.1,3849.6,1152.0,4434739.2
90.0,0,60,90.0,95.0,40.0,3800.0,1350.0,5415000.0
176.0,0,54,90.0,108.0,40.9,4417.2,2070.0,10972324.8
51.0,1,49,66.0,89.0,39.6,3524.4,726.0,3450387.6
24.0,1,24,66.0,82.0,39.3,3222.6,462.0,1849772.4
22.0,1,28,57.0,83.0,39.5,3278.5,342.0,1632693.0
212.0,0,72,102.0,106.0,40.9,4335.4,2550.0,11488810.0
201.0,0,32,78.0,112.0,40.9,4580.8,2262.0,14878438.4
83.0,1,36,59.0,93.0,40.3,3747.9,1003.0,5925429.9
87.0,0,65,103.0,93.0,40.1,3729.3,1442.0,4855548.6
141.0,1,36,67.0,97.0,40.7,3947.9,1809.0,10339550.1
134.0,1,32,63.0,103.0,40.3,4150.9,1449.0,9833482.1
5.0,0,42,84.0,80.0,38.6,3088.0,168.0,494080.0
201.0,0,34,94.0,109.0,40.9,4458.1,2726.0,14092054.1
9.0,0,34,78.0,86.0,38.2,3285.2,234.0,847581.6
20.0,0,26,86.0,83.0,39.3,3261.9,688.0,2165901.6
221.0,0,31,105.0,113.0,40.8,4610.4,3045.0,15108280.8
112.0,1,64,63.0,105.0,40.1,4210.5,1071.0,7515742.5
108.0,0,34,93.0,99.0,40.3,3989.7,1860.0,7899606.0
257.0,0,63,112.0,110.0,40.4,4444.0,3248.0,14176360.0
192.0,0,44,87.0,108.0,40.8,4406.4,2349.0,12849062.4
72.0,0,36,96.0,90.0,40.3,3627.0,1632.0,5549310.0
169.0,0,41,71.0,104.0,41.2,4284.8,1988.0,12477337.6
120.0,0,73,77.0,97.0,40.3,3909.1,1386.0,6825288.6
172.0,0,31,85.0,106.0,40.8,4324.8,2380.0,12836006.4
21.0,0,22,73.0,84.0,39.9,3351.6,730.0,2815344.0
105.0,1,34,56.0,102.0,40.6,4141.2,1008.0,7603243.2
156.0,1,21,65.0,109.0,40.3,4392.7,1625.0,11970107.5
13.0,1,22,50.0,89.0,38.7,3444.3,150.0,919628.1
134.0,0,33,97.0,100.0,40.8,4080.0,2328.0,9792000.0
130.0,1,51,60.0,103.0,40.4,4161.2,1260.0,9000675.6
7.0,0,45,99.0,83.0,37.9,3145.7,198.0,522186.2
140.0,1,33,67.0,101.0,41.1,4151.1,1675.0,10481527.5
34.0,0,47,97.0,91.0,39.3,3576.3,679.0,2278103.1
34.0,1,70,74.0,79.0,40.0,3160.0,666.0,2246760.0
44.0,1,77,63.0,92.0,39.5,3634.0,504.0,2674624.0
42.0,1,35,71.0,85.0,39.9,3391.5,781.0,3171052.5
9.0,1,44,60.0,89.0,38.4,3417.6,120.0,608332.8
107.0,1,71,60.0,97.0,40.5,3928.5,1080.0,6859161.0
39.0,1,54,75.0,87.0,39.6,3445.2,675.0,2697591.6
178.0,1,63,68.0,108.0,40.8,4406.4,1768.0,12373171.2
79.0,1,50,55.0,101.0,40.4,4080.4,715.0,5357565.2
113.0,0,63,105.0,102.0,40.3,4110.6,1575.0,6289218.0
143.0,1,30,58.0,109.0,40.5,4414.5,1276.0,10585971.0
16.0,1,33,57.0,84.0,38.7,3250.8,228.0,1092268.8
137.0,0,38,91.0,100.0,40.5,4050.0,2184.0,9720000.0
71.0,0,20,81.0,97.0,40.5,3928.5,1377.0,6478096.5
72.0,1,67,62.0,94.0,40.2,3778.8,806.0,4617693.6
76.0,0,24,90.0,103.0,40.1,4130.3,1260.0,5955892.6
187.0,0,30,103.0,109.0,40.5,4414.5,2781.0,12991873.5
109.0,1,35,49.0,103.0,40.2,4140.6,882.0,7676672.4
204.0,1,63,79.0,111.0,40.5,4495.5,2291.0,14471014.5
29.0,1,50,60.0,91.0,39.4,3585.4,360.0,1957628.4
91.0,0,33,101.0,98.0,40.5,3969.0,1717.0,6612354.0
16.0,1,36,58.0,84.0,39.0,3276.0,232.0,1100736.0
36.0,0,75,97.0,84.0,39.1,3284.4,679.0,1931227.2
80.0,0,56,93.0,97.0,39.9,3870.3,1209.0,4880448.3
151.0,1,50,75.0,111.0,40.6,4506.6,1650.0,11005117.2
195.0,0,24,80.0,116.0,40.6,4709.6,2160.0,14750467.2
26.0,1,32,72.0,80.0,39.5,3160.0,576.0,2022400.0
138.0,0,49,100.0,99.0,40.5,4009.5,2200.0,8732691.0
15.0,1,77,65.0,89.0,39.0,3471.0,195.0,926757.0
120.0,0,67,75.0,97.0,40.5,3928.5,1425.0,7240225.5
197.0,0,23,81.0,112.0,41.0,4592.0,2430.0,15429120.0
114.0,0,37,95.0,98.0,40.7,3988.6,1995.0,8208538.8
127.0,1,35,59.0,107.0,40.6,4344.2,1180.0,9296588.0
112.0,0,34,83.0,97.0,40.8,3957.6,1909.0,8829405.6
116.0,1,49,67.0,98.0,40.4,3959.2,1407.0,8148033.6
35.0,1,69,61.0,83.0,39.4,3270.2,488.0,2171412.8
110.0,0,49,101.0,103.0,40.4,4161.2,1616.0,6857657.6
117.0,1,41,51.0,95.0,40.2,3819.0,1122.0,7981710.0
115.0,0,42,95.0,105.0,40.2,4221.0,1615.0,7534485.0
157.0,0,52,93.0,107.0,40.6,4344.2,1953.0,9761417.4
54.0,1,26,60.0,91.0,40.0,3640.0,720.0,3974880.0
163.0,1,79,80.0,104.0,40.5,4212.0,2000.0,10951200.0
156.0,0,72,82.0,107.0,40.5,4333.5,1558.0,8810005.5
42.0,0,34,92.0,91.0,39.9,3630.9,920.0,3304119.0
35.0,1,60,50.0,89.0,39.8,3542.2,350.0,2206790.6
34.0,1,45,57.0,91.0,39.3,3576.3,399.0,2278103.1
99.0,0,33,92.0,98.0,40.4,3959.2,1748.0,7372030.4
161.0,0,56,97.0,109.0,40.5,4414.5,1940.0,9623610.0
38.0,1,21,54.0,94.0,39.8,3741.2,432.0,2813382.4
104.0,1,50,61.0,99.0,40.5,4009.5,1098.0,7144929.0
200.0,0,60,86.0,105.0,41.0,4305.0,2322.0,12204675.0
183.0,0,39,72.0,108.0,40.7,4395.6,2016.0,13292294.4
140.0,0,48,75.0,110.0,40.7,4477.0,1425.0,9356930.0
100.0,1,38,65.0,97.0,40.5,3928.5,1235.0,7240225.5
178.0,0,54,95.0,110.0,40.3,4433.0,2090.0,10727860.0
150.0,0,23,89.0,104.0,41.0,4264.0,2403.0,11973312.0
83.0,1,72,68.0,94.0,40.2,3778.8,1020.0,5328108.0
12.0,0,47,79.0,74.0,39.3,2908.2,474.0,1291240.8
49.0,1,58,72.0,103.0,39.9,4109.7,576.0,3386392.8
147.0,0,41,85.0,101.0,40.8,4120.8,2125.0,10405020.0
44.0,0,62,100.0,90.0,39.4,3546.0,800.0,2553120.0
179.0,1,30,67.0,107.0,40.9,4376.3,1943.0,13579658.9
161.0,1,32,56.0,113.0,40.5,4576.5,1288.0,11894323.5
20.0,0,20,80.0,84.0,39.4,3309.6,720.0,2502057.6
127.0,1,53,65.0,102.0,40.5,4131.0,1365.0,8848602.0
247.0,0,51,95.0,112.0,41.0,4592.0,2850.0,15429120.0
173.0,0,78,86.0,100.0,40.8,4080.0,1978.0,9384000.0
3.0,1,31,69.0,74.0,37.6,2782.4,69.0,205897.6
32.0,0,74,112.0,83.0,39.0,3237.0,672.0,1612026.0
140.0,1,50,70.0,106.0,40.9,4335.4,1540.0,10110152.8
34.0,1,40,70.0,88.0,40.0,3520.0,560.0,2478080.0
30.0,0,41,75.0,88.0,39.7,3493.6,600.0,2459494.4
64.0,1,26,54.0,94.0,40.3,3788.2,702.0,4629180.4
152.0,0,25,89.0,104.0,40.8,4243.2,2403.0,11914905.6
91.0,0,31,89.0,105.0,39.9,4189.5,1335.0,6598462.5
9.0,0,20,90.0,83.0,38.8,3220.4,360.0,1069172.8
20.0,1,55,72.0,84.0,39.3,3301.2,360.0,1386504.0
156.0,1,52,59.0,103.0,40.7,4192.1,1475.0,10794657.5
223.0,0,60,105.0,110.0,40.6,4466.0,2730.0,12772760.0
83.0,0,36,93.0,97.0,40.0,3880.0,1488.0,6021760.0
51.0,1,53,69.0,89.0,40.0,3560.0,759.0,3485240.0
52.0,0,36,95.0,97.0,40.0,3880.0,950.0,3763600.0
170.0,1,23,68.0,114.0,40.9,4662.6,1700.0,13288410.0
7.0,1,36,57.0,79.0,37.9,2994.1,114.0,473067.8
149.0,1,37,61.0,103.0,40.7,4192.1,1525.0,10794657.5
181.0,0,48,80.0,105.0,40.6,4263.0,2160.0,12085605.0
201.0,1,39,71.0,118.0,41.1,4849.8,1917.0,15451462.8
23.0,0,21,103.0,88.0,39.6,3484.8,721.0,2146636.8
109.0,0,20,86.0,100.0,40.3,4030.0,1978.0,9269000.0
30.0,0,57,72.0,84.0,39.7,3334.8,576.0,2240985.6
84.0,1,77,66.0,94.0,40.5,3807.0,990.0,5367870.0
128.0,0,34,85.0,109.0,40.4,4403.6,1615.0,9119855.6
137.0,0,52,92.0,97.0,40.7,3947.9,2116.0,8807764.9
216.0,0,70,91.0,103.0,40.8,4202.4,2548.0,12119721.6
68.0,1,64,54.0,95.0,40.1,3809.5,648.0,4342830.0
129.0,0,73,101.0,97.0,40.7,3947.9,1818.0,6893033.4
50.0,0,47,99.0,88.0,39.8,3502.4,1089.0,3390323.2
19.0,1,39,65.0,84.0,39.2,3292.8,325.0,1382976.0
30.0,1,25,60.0,89.0,39.4,3506.6,420.0,2184611.8
197.0,0,22,67.0,119.0,40.4,4807.6,1809.0,15446818.8
24.0,0,67,78.0,95.0,38.7,3676.5,312.0,1397070.0
70.0,1,64,67.0,94.0,40.2,3778.8,871.0,4617693.6
54.0,0,37,100.0,91.0,40.1,3649.1,1200.0,3984817.2
88.0,0,21,78.0,100.0,40.5,4050.0,1482.0,7695000.0
24.0,0,40,97.0,83.0,39.5,3278.5,679.0,1904808.5
121.0,1,36,68.0,108.0,40.1,4330.8,1292.0,8886801.6
57.0,1,53,77.0,95.0,39.9,3790.5,847.0,3961072.5
126.0,0,41,99.0,98.0,40.5,3969.0,2178.0,8557164.0
24.0,0,56,88.0,89.0,39.5,3515.5,440.0,1564397.5
41.0,1,29,65.0,84.0,40.0,3360.0,715.0,3104640.0
28.0,0,28,92.0,92.0,39.5,3634.0,644.0,2340296.0
34.0,0,22,88.0,90.0,39.7,3573.0,880.0,3215700.0
161.0,0,76,93.0,96.0,40.5,3888.0,2139.0,8584704.0
20.0,0,73,76.0,86.0,38.9,3345.4,304.0,1150817.6
119.0,0,39,86.0,97.0,40.6,3938.2,1978.0,8786124.2
63.0,1,69,59.0,95.0,39.6,3762.0,649.0,3931290.0
58.0,1,46,75.0,93.0,40.1,3729.3,900.0,4161898.8
215.0,1,30,58.0,115.0,40.6,4669.0,1740.0,16108050.0
96.0,1,35,67.0,101.0,40.1,4050.1,1139.0,6954021.7
160.0,1,60,71.0,107.0,41.0,4387.0,1704.0,11265816.0
154.0,1,35,50.0,104.0,41.0,4264.0,1250.0,11086400.0
11.0,0,26,84.0,81.0,39.1,3167.1,420.0,1282675.5
122.0,0,21,83.0,104.0,40.5,4212.0,1909.0,10075104.0
124.0,1,27,57.0,101.0,40.4,4080.4,1254.0,9066648.8
113.0,1,47,69.0,97.0,40.6,3938.2,1449.0,8022113.4
9.0,1,27,79.0,80.0,38.9,3112.0,237.0,746880.0
208.0,0,49,79.0,108.0,40.7,4395.6,2291.0,13767019.2
101.0,0,27,83.0,102.0,41.0,4182.0,1577.0,8104716.0
66.0,0,46,91.0,91.0,40.0,3640.0,1274.0,4637360.0
100.0,0,58,98.0,102.0,40.1,4090.2,1372.0,5840805.6
65.0,0,27,77.0,101.0,39.9,4029.9,1001.0,5291258.7
47.0,0,29,76.0,91.0,39.8,3621.8,988.0,4284589.4
8.0,0,39,96.0,78.0,38.6,3010.8,288.0,704527.2
17.0,1,56,63.0,84.0,38.7,3250.8,252.0,1092268.8
101.0,0,32,83.0,97.0,40.4,3918.8,1743.0,7982595.6
18.0,1,43,67.0,80.0,39.0,3120.0,335.0,1248000.0
131.0,0,21,98.0,108.0,40.5,4374.0,2058.0,9920232.0
58.0,1,76,72.0,97.0,39.8,3860.6,720.0,3744782.0
87.0,1,22,59.0,104.0,40.0,4160.0,885.0,6489600.0
152.0,0,35,99.0,104.0,40.6,4222.4,2376.0,10539110.4
193.0,0,45,95.0,105.0,41.0,4305.0,2660.0,12656700.0
51.0,0,32,83.0,99.0,39.7,3930.3,830.0,3890997.0
157.0,0,39,80.0,105.0,40.7,4273.5,2000.0,11217937.5
165.0,1,44,75.0,105.0,40.8,4284.0,2025.0,12145140.0
22.0,1,26,67.0,84.0,39.4,3309.6,402.0,1668038.4
91.0,1,42,72.0,98.0,40.1,3929.8,1224.0,6547046.8
9.0,1,24,78.0,93.0,38.2,3552.6,156.0,660783.6
74.0,0,56,93.0,91.0,40.0,3640.0,1302.0,4637360.0
26.0,0,71,96.0,85.0,39.1,3323.5,480.0,1412487.5
57.0,1,37,84.0,99.0,39.9,3950.1,924.0,4301658.9
37.0,1,47,63.0,81.0,39.9,3231.9,630.0,2617839.0
217.0,0,48,67.0,112.0,40.9,4580.8,1943.0,14878438.4
47.0,0,52,86.0,87.0,40.0,3480.0,946.0,3330360.0
139.0,0,40,98.0,99.0,40.4,3999.6,2352.0,9503049.6
19.0,1,66,75.0,88.0,38.9,3423.2,300.0,1204966.4
80.0,1,37,59.0,94.0,40.2,3778.8,944.0,5683315.2
74.0,0,28,93.0,94.0,40.4,3797.6,1581.0,6068564.8
